,an,brand,modelo,prices.amountMax,prices.amountMin,prices.isSale
15,2021,nike,others,95.0,95.0,False
16,2021,nike,others,110.0,110.0,False
17,2021,nike,others,30.0,30.0,False
18,2021,nike,others,100.0,100.0,False
19,2021,nike,others,130.0,130.0,False
20,2021,nike,others,75.0,75.0,False
21,2021,nike,others,120.0,120.0,False
22,2021,nike,others,110.0,110.0,False
23,2021,nike,others,130.0,130.0,False
24,2021,nike,others,35.0,35.0,False
25,2021,nike,others,110.0,110.0,False
26,2021,nike,others,110.0,110.0,False
27,2021,nike,others,55.0,55.0,False
28,2021,nike,others,120.0,120.0,False
29,2021,nike,others,100.0,100.0,False
30,2021,nike,others,160.0,160.0,False
31,2021,nike,others,140.0,140.0,False
32,2021,nike,air max,160.0,160.0,False
33,2021,nike,air max,160.0,160.0,False
34,2021,nike,others,130.0,130.0,False
35,2021,nike,others,110.0,110.0,False
36,2021,nike,air max,180.0,180.0,False
37,2021,nike,air max,180.0,180.0,False
38,2021,nike,others,100.0,100.0,False
39,2021,nike,others,160.0,160.0,False
40,2021,nike,others,140.0,140.0,False
41,2021,nike,others,120.0,120.0,False
42,2021,nike,others,95.0,95.0,False
43,2021,nike,others,120.0,120.0,False
44,2021,nike,court tennis,55.0,55.0,False
45,2021,nike,others,95.0,95.0,False
46,2021,nike,others,120.0,120.0,False
47,2021,nike,others,110.0,110.0,False
48,2021,nike,others,110.0,110.0,False
49,2021,nike,air max,80.0,80.0,False
50,2021,nike,others,160.0,160.0,False
51,2021,nike,others,100.0,100.0,False
52,2021,nike,others,120.0,120.0,False
53,2021,nike,others,100.0,100.0,False
54,2021,nike,others,150.0,150.0,False
55,2021,nike,court tennis,80.0,80.0,False
56,2021,nike,others,85.0,85.0,False
57,2021,nike,others,65.0,65.0,False
58,2021,nike,others,130.0,130.0,False
59,2021,nike,in-season,75.0,75.0,False
60,2021,nike,others,100.0,100.0,False
61,2021,nike,court tennis,60.0,60.0,False
62,2021,nike,others,300.0,300.0,False
63,2021,nike,court tennis,80.0,80.0,False
64,2021,nike,others,110.0,110.0,False
65,2021,nike,court tennis,40.0,40.0,False
66,2021,nike,others,65.0,65.0,False
67,2021,nike,others,100.0,100.0,False
68,2021,nike,others,150.0,150.0,False
69,2021,nike,sb skate,75.0,75.0,False
70,2021,nike,others,110.0,110.0,False
71,2021,nike,others,120.0,78.97,False
72,2021,nike,others,55.0,55.0,False
73,2021,nike,others,90.0,90.0,False
74,2021,nike,others,100.0,100.0,False
75,2021,nike,sb skate,75.0,75.0,False
76,2021,nike,court tennis,75.0,75.0,False
77,2021,nike,others,85.0,85.0,False
78,2021,nike,others,120.0,120.0,False
79,2021,nike,others,85.0,85.0,False
80,2021,nike,pegasus,130.0,130.0,False
81,2021,nike,others,275.0,275.0,False
82,2021,nike,others,80.0,80.0,False
83,2021,nike,others,85.0,85.0,False
84,2021,nike,others,250.0,250.0,False
85,2021,nike,others,80.0,80.0,False
86,2021,nike,others,85.0,85.0,False
